,_Age,_Weight,_Height,_avg_td_att,_avg_sig_str,_fights
Shinsho Anzai,67,64,79,1,0,2
Artem Lobov,65,58,82,0,7,4
Darren Till,52,64,85,0,0,1
Patrick Williams,76,50,80,11,2,3
Alexis Davis,69,50,78,8,11,4
Lauren Murphy,71,50,79,15,6,4
Gadzhimurad Antigulov,65,77,84,0,1,1
Jocelyn Jones-Lybarger,67,43,79,4,23,3
An Ying Wang,56,64,85,0,0,2
Devin Powell,63,58,85,0,0,1
John Makdessi,67,58,80,4,72,6
Rob Whiteford,71,54,82,33,16,4
Kevin Souza,69,54,85,0,10,3
Kamaru Usman,63,64,85,54,17,5
Aiemann Zahabi,63,50,80,0,0,1
Jack May,76,95,95,4,0,2
Josh Koscheck,84,64,83,8,9,2
Jerrod Sanders,80,50,80,7,9,4
Felipe Olivieri,67,58,82,0,3,1
Valentina Shevchenko,63,50,77,26,30,4
John Dodson,69,50,75,5,54,4
William Patolino,54,64,84,1,5,2
Mike Wilkinson,63,54,79,1,1,2
Gleison Tibau,71,58,83,41,8,5
Fredy Serrano,80,46,77,20,1,2
Andrew Holbrook,67,58,84,8,13,4
Ketlen Vieira,54,50,80,8,22,2
Mairbek Taisumov,60,58,82,0,0,1
Junior Dos Santos,71,90,90,1,24,3
Ryan Jimmo,76,77,87,2,4,3
Tim Kennedy,80,70,84,27,13,3
Ed Herman,78,77,86,8,7,4
Nate Diaz,67,64,85,0,44,4
Alistair Overeem,78,100,90,10,29,8
